"Hour,Volume,Price"
"3,4540.1,299.9"
"3,4540.1,300"
"3,4629.1,300"
"3,4629.1,300.1"
"3,4630.6,300.1"
"3,4630.6,399.9"
"3,4635.5,399.9"
"3,4635.5,400.1"
"3,4639.5,400.1"
"3,4639.5,499.9"
"34,642,499.90"
"34,642,699.90"
"3,4642.5,699.9"
"3,4642.5,799.9"
"3,4644.3,799.9"
"3,4644.4,799.9"
"3,4644.4,899.9"
"3,4645.4,899.9"
"3,4645.4,999.9"
"3,4653.9,999.9"
"3,4664.3,999.9"
"3,4664.3,2500"
"3,4664.6,2500"
"3,4664.6,2999"
"3,4733.3,2999"
"3,4733.3,3000"
"4,3260.2,-500"
"4,3260.2,-200"
"4,3419.4,-200"
"4,3419.4,-150"
"4,3481.3,-150"
"4,3481.3,-100"
"4,3592.7,-100"
"4,3592.7,-50"
"4,3622.7,-50"
"4,3622.7,-44.7"
"4,3738.8,-44.7"
"4,3738.8,-25"
"4,3741.3,-25"
"4,3741.3,-0.5"
"4,3741.4,-0.5"
"4,3741.4,1"
"4,3748.9,1"
"4,3748.9,10"
"4,3750.1,10"
"4,3750.1,13.4"
"4,3760.2,13.4"
"4,3760.2,13.7"
"4,3770.3,13.7"
"4,3770.3,14"
"4,3772.7,14"
"4,3772.7,14.5"
"4,3782.8,14.5"
"4,3782.8,15"
"4,3784.3,15"
"4,3784.3,16.5"
"4,3797.3,16.5"
"4,3797.3,17"
"4,3797.4,17"
"4,3797.4,18"
"4,3798.4,18"
"4,3798.4,18.4"
"4,3808.5,18.4"
"4,3808.5,19"
"4,3808.6,19"
"4,3808.6,25"
"4,3813.1,25"
"4,3813.1,26"
"4,3823.2,26"
"4,3823.2,28"
"4,3824.8,28"
"4,3824.8,29"
"4,3834.9,29"
"4,3834.9,30"
"4,3835.7,30"
"4,3835.7,30.1"
"4,3836.9,30.1"
"4,3836.9,33"
"4,3837,33"
"4,3837,34"
"4,3837.1,34"
"4,3837.1,35"
"4,3838.8,35"
"4,3838.8,35.1"
"4,3839.3,35.1"
"4,3839.3,36"
"4,3841,36"
"4,3841,38.5"
"4,3844.9,38.5"
"4,3844.9,39.5"
"4,3845.2,39.5"
"4,3845.2,40"
"4,3848.2,40"
"4,3848.2,40.5"
"4,3850.8,40.5"
"4,3850.8,42"
"4,3851.6,42"
"4,3851.6,43.5"
"4,3853.2,43.5"
"4,3853.2,44.5"
"4,3857.1,44.5"
"4,3857.1,45"
"4,3857.9,45"
"4,3857.9,45.1"
"4,3901.6,45.1"
"4,3901.6,45.5"
"4,3903.4,45.5"
"4,3903.4,47"
"4,3909.7,47"
"4,3909.7,47.5"
"4,3911.6,47.5"
"4,3911.6,48"
"4,3916.1,48"
"4,3916.1,49"
"4,3922.8,49"
"4,3922.8,49.5"
"4,3924.6,49.5"
"4,3924.6,50"
"4,3929.7,50"
"4,3929.7,50.5"
"4,3931.6,50.5"
"4,3931.6,51.5"
"4,3933,51.5"
"4,3933,52"
